"","Watershed","Site","SampleDate","Organization","VisitID","Category","StreamName","VisitYear","LON_DD","LAT_DD","ValleyClass","Channel_Type","CUMDRAINAG","DistPrin1","NatPrin1","NatPrin2","MeanU","SlowWater_Area","SlowWater_Ct","SlowWater_Vol","SlowWater_Pct","FstTurb_Area","FstTurb_Ct","FstTurb_Vol","FstTurb_Pct","FstNT_Ct","FstNT_Vol","FstNT_Pct","Grad","Sin","Lgth_Wet","Area_Wet","WetVol","WetWdth_Int","WetBraid","DpthWet_SD","WetWdth_CV","WetWdth_Avg","WetSCWdth","SlowWater_Freq","FstTurb_Freq","FstNT_Freq","DpthThlwg_Avg","PoolResidDpth","WetSCL_Area","SCSm_Area","WetSC_Pct","SCSm_Freq","SCSm_Vol","Q","SubD16","SubD50","SubD84","Cond","FishCovLW","FishCovTVeg","FishCovArt","FishCovNone","FishCovAqVeg","FishCovTotal","SC_Area","SC_Area_Pct","ChnlUnitTotal_Ct","CU_Ct","CU_Freq","SubEstBldr","SubEstCbl","SubEstSandFines","SubEstGrvl","LWVol_Wet","LWVol_WetFstNT","LWVol_WetFstTurb","LWVol_WetSlow","UcutArea","UcutLgth","LWcnt_Wet","LWFreq_Wet","UcutLgth_Pct","UcutArea_Pct"
"1","Upper Grande Ronde","CBW05583-138666","2014-09-19","Columbia River Inter-Tribal Fish Commission",2004,"Catherine Creek Chinook","North Fork Catherine Creek",2014,-117.63697,45.12646,"Depositional","Confined",88.157,-1.01,-2.09,0.45,56.22,201.3557,5,55.8871,8.5385,2156.8428,6,367.181,91.4615,0,0,0,2.621,1.1114,244.5994,2358.1986,423.0682,9.6411,1,0.1132,0.3303,8.2633,NA,2.0442,2.453,0,0.3116,0.3857,314.7783,0,13.3483,0,0,0.4217,23,71,166,65.1,4.6095,8.0605,0,87.33,0,12.67,0,0,11,11,4.49714921622866,8.9573,24.1998,21.3423,45.5006,2.79776575800664,NA,0.806498670455284,1.99126708755135,22.797,32.8,4,1.63532698771951,0.134096812993,0.00966712472817175
"2","Upper Grande Ronde","CBW05583-155818","2014-09-22","Columbia River Inter-Tribal Fish Commission",2005,"Catherine Creek Chinook","Little Catherine Creek",2014,-117.7166,45.14761,"Source","Plane-bed",39.288,-0.42,-1.32,0.25,16.23,235.5283,12,39.0156,45.1284,258.0494,8,21.0054,49.4435,0,0,0,5.3867,1.4162,124.7923,518.2375,60.9768,4.1528,1.1689,0.1202,0.4422,3.7051,1.5293,9.616,6.4107,0,0.2224,0.2613,0,28.3297,5.4281,0.8013,0.9017,0.0284,21,66,145,93.3,2.4695,7.301,0,89.9954,0.2341,10.0046,13.64,2.6135,20,20,16.0266298481557,12.6579,17.155,36.8896,33.2974,3.32785611122481,NA,0.898063529936812,2.42979258128799,4.8224,8.11,8,6.41065193926228,0.0649879840342713,0.00930538604404351
"3","Upper Grande Ronde","CBW05583-217258","2014-09-06","Columbia River Inter-Tribal Fish Commission",2006,"Catherine Creek Chinook","Catherine Creek",2014,-117.88042,45.21156,"Depositional","Island_braided",290.181,1.93,0.02,-0.1,126.28,626.2796,5,98.5579,22.9854,1881.527,6,168.1384,69.0549,1,20.9514,7.9597,0.583,1.0875,284.1537,2724.6822,287.6477,9.5888,1,0.0687,0.2483,9.4806,NA,1.7596,2.1115,0.3519,0.1783,0.2534,0,0,0,0,0,0.1155,15,44,70,78.3,1.0346,0.5173,0,98.4481,0,1.5519,0,0,12,12,4.2230666009276,0.7171,28.9208,22.7579,47.6042,2.09868599435922,NA,1.07966329327757,1.01902270108165,NA,NA,7,2.46345551720776,NA,NA
"4","Upper Grande Ronde","CBW05583-368042","2014-08-22","Columbia River Inter-Tribal Fish Commission",2007,"Catherine Creek Chinook","Catherine Creek",2014,-117.66096,45.11812,"Depositional","Confined",153.229,0.21,-0.64,0.08,87.97,477.1818,6,146.6782,14.0752,1806.1115,8,345.3184,53.2742,1,94.5129,10.8771,1.653,1.1468,285.3987,3390.227,626.7929,11.8789,1.2561,0.1446,0.1844,8.32,4.1203,2.1023,2.8031,0.3504,0.3644,0.3252,270.0241,738.1702,29.7383,0.3504,40.2835,1.0182,27,68,175,56.9,5.7057,11.374,0,82.9202,0,17.0798,1770,52.209,15,15,5.25580529974383,7.1211,28.2429,36.6054,28.0306,9.17384638915655,0.549778714378214,5.21670413667648,1.08384946548848,31.411,47.4,19,6.65735337967552,0.166083447471905,0.0092651613004085
"5","Upper Grande Ronde","CBW05583-405674","2014-09-03","Columbia River Inter-Tribal Fish Commission",2008,"Catherine Creek Chinook","Catherine Creek",2014,-117.83898,45.19654,"Depositional","Island_braided",287.55499,1.93,0.02,-0.1,126.08,730.9675,6,187.1529,16.3248,3345.84,3,509.2486,74.7232,1,86.5969,8.952,0.7878,1.1112,330.7714,4477.6456,782.9984,13.537,1,0.1018,0.1712,13.4549,NA,1.8139,0.907,0.3023,0.2731,0.2233,0,0,0,0,0,0.8162,23,56,103,71.2,4.053,2.1145,0,93.8325,0,6.1675,0,0,10,10,3.02323598715004,4.7949,26.7388,22.1977,46.2686,8.5200361902492,0.129245121768684,4.34463178816098,4.04615928031954,4.703,9.4,16,4.83717757944006,0.0284184182792104,0.00105032877099519
"6","Upper Grande Ronde","CBW05583-430250","2014-09-05","Columbia River Inter-Tribal Fish Commission",2009,"Catherine Creek Chinook","Catherine Creek",2014,-117.88454,45.21176,"Depositional","Island_braided",290.181,1.93,0.02,-0.1,126.28,821.0133,6,279.9029,26.3311,1839.9749,5,140.4924,59.0106,2,85.8347,14.6584,0.7001,1.6237,333.7789,3118.0485,506.23,9.3417,1,0.2053,0.3825,9.27,NA,1.7976,1.498,0.5992,0.3408,0.6934,0,0,0,0,0,0.1392,20,43,74,76,2.2069,3.6387,0,94.1544,0,5.8456,0,0,13,13,3.89479382908866,3.9998,25.9108,15.6685,54.4209,10.2112285577058,5.56863005812059,0.0883572933822129,4.55424120620298,2.349,2.7,14,4.19439335440317,0.00808918718349183,0.000753355824965519
"7","Upper Grande Ronde","CBW05583-456106","2014-08-09","Columbia River Inter-Tribal Fish Commission",2010,"Catherine Creek Chinook","Catherine Creek",2014,-117.69815,45.123233,NA,NA,NA,NA,NA,NA,NA,763.636,6,253.0815,25.7649,2011.9536,6,406.3479,67.8828,1,48.0931,6.3523,1.0321,1.2669,332.5496,2964.1027,707.5225,8.9133,1,0.1485,0.1861,8.8581,NA,1.8042,1.8042,0.3007,0.4085,0.3041,0,0,0,0,0,0.8978,13,66,118,59.5,3.7747,4.594,0,91.949,0,8.3687,0,0,13,13,3.90919129056237,4.2325,47.8519,15.1833,32.7323,8.267391665242,NA,6.72518383159477,1.54220783364723,10.55,13.5,14,4.20989831291332,0.0405954480173785,0.00355925589217944
"8","Upper Grande Ronde","CBW05583-512938","2014-09-21","Columbia River Inter-Tribal Fish Commission",2011,"Catherine Creek Chinook","South Fork Catherine Creek",2014,-117.58188,45.10466,"Source","Plane-bed",43.482,-1.01,-1.74,0.36,24.54,71.3697,2,18.4783,11.1714,567.4895,4,117.2769,88.8286,0,0,0,4.1403,1.0619,124.2109,638.8593,135.7553,5.1433,1,0.116,0.1771,5.1093,NA,1.6102,3.2203,0,0.3199,0.352,0,0,0,0,0,0.2011,0.4613,37,215,63.4,3.6477,2.6904,0,93.662,0,6.338,0,0,6,6,4.83049394215806,28.1752,20.4632,26.8651,23.782,9.70612721785243,NA,9.20013445108363,0.505992766768806,0.3276,1.26,8,6.44065858954407,0.0101440372785319,0.000512788966208992
"9","Upper Grande Ronde","dsgn4-000204","2014-09-04","Columbia River Inter-Tribal Fish Commission",2013,"Catherine Creek Chinook","Catherine Creek",2014,-117.86608,45.2098,"Depositional","Island_braided",290.181,1.93,0.02,-0.1,NA,58.3619,1,21.9768,2.4923,1196.9022,3,197.812,51.1124,3,276.8213,46.3953,0.6579,1.0151,246.3995,2341.7079,496.6102,9.5037,1,0.1081,0.1125,9.5039,NA,0.4058,1.2175,1.2175,0.3002,0.2651,0,0,0,0,0,0.433,21,53,105,74.9,0,4.0936,0,93.3073,2.5991,6.6927,0,0,7,7,2.84091485575255,3.6514,26.0126,40.7142,29.6218,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Upper Grande Ronde","CBW05583-108010","2014-06-19","Columbia River Inter-Tribal Fish Commission",2014,"Upper Grande Ronde Chinook","Limber Jim Creek",2014,-118.3306,45.10338,"Source","Plane-bed",37.869,-1.05,-1.11,0.49,7.97,317.2725,10,83.2337,51.5116,298.652,8,43.714,48.4884,0,0,0,1.1795,1.5046,164.378,615.9245,126.9478,3.747,1,0.1269,0.3078,3.637,NA,6.0835,4.8668,0,0.2966,0.293,0,0,0,0,0,0.2946,10,28,67,65,5.3939,4.5419,0,89.1059,0.9584,10.8941,0,0,18,18,10.9503704875348,0.483,24.336,14.5711,60.6099,8.45344306537289,NA,2.69592631975155,5.75751674562135,21.4514,40.13,42,25.5508644709146,0.244132426480429,0.0348279699865812
