"","VisitID","FID_2","OBSPRED","FTYPE","WATERBO","TAILWAT","ELEV","CANOPY","SLOPE","PRECIP","CUMDRAI","Y_COORD","NLCD11P","GLACIER","BFI","NrWST_r","GNIS_NA","COMID","Air_Aug","Flow_Ag","S1_93_1","S2_02_1","S3_1993","S4_1994","S5_1995","S6_1996","S7_1997","S8_1998","S9_1999","S10_200","S11_200","S12_200","S13_200","S14_200","S15_200","S16_200","S17_200","S18_200","S19_200","S20_201","S21_201","S22_PSE","S23_1C","S24_1C_","S25_2C","S26_2C_","S27_3C","S28_3C_","S29_204","S30_204","S31_208","S32_208","S33_201","S34_201","S35_201","S36_201","Distance"
"1",2192,2527,102666,"StreamRiver",0,0,1856.21,43.6,0.01372,665.3614,487.571,1571165.83,0.084,-9999,75,"Salmon","Yankee Fork",23478747,13.59,32.75,13.38,13.35,12.14,14.24,12.79,13.24,12.97,13.7,13.33,13.96,14.4,12.85,14.22,13.18,13.47,13.27,13.9,13.42,13.04,13.01,13.12,1.13,14.38,14.45,15.38,15.52,16.38,16.58,14.64,14.72,15.45,15.59,14.04,14.36,12.98,13.99,1.5601390131e-05
"2",2743,2527,102666,"StreamRiver",0,0,1856.21,43.6,0.01372,665.3614,487.571,1571165.83,0.084,-9999,75,"Salmon","Yankee Fork",23478747,13.59,32.75,13.38,13.35,12.14,14.24,12.79,13.24,12.97,13.7,13.33,13.96,14.4,12.85,14.22,13.18,13.47,13.27,13.9,13.42,13.04,13.01,13.12,1.13,14.38,14.45,15.38,15.52,16.38,16.58,14.64,14.72,15.45,15.59,14.04,14.36,12.98,13.99,1.5601390131e-05
"3",2189,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,6.8492674797e-05
"4",2190,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,0.00145600983433
"5",2211,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,0.00132980580564
"6",2212,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,0.000694677240725
"7",2740,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,6.8492674797e-05
"8",2741,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,0.00145600983433
"9",2762,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,0.00132980580564
"10",2763,3013,103086,"StreamRiver",0,0,1896.52,17.92,0.00678,618.2178,435.886,1575792.98,0.094,-9999,75,"Salmon","Yankee Fork",23478755,13.59,32.75,12.79,12.76,11.55,13.65,12.2,12.65,12.38,13.11,12.74,13.38,13.82,12.26,13.63,12.59,12.88,12.69,13.31,12.83,12.46,12.42,12.53,0.95,13.79,13.85,14.79,14.9,15.79,15.96,14.05,14.12,14.87,14.98,13.45,13.78,12.4,13.4,0.000694677240725
