Population,BroodYear,trap_lat,trap_long,Spawners,Spawner_type,Parr,ParrEst
Catherine Creek,1993,45.191962,117.832206,257,total spawners,42334,TRUE
Catherine Creek,1994,45.191962,117.832206,28,total spawners,10437,TRUE
Catherine Creek,1995,45.191962,117.832206,34,total spawners,9325,TRUE
Catherine Creek,1996,45.191962,117.832206,34,total spawners,14878,TRUE
Catherine Creek,1997,45.191962,117.832206,71,total spawners,38204,TRUE
Catherine Creek,1998,45.191962,117.832206,91,total spawners,40393,TRUE
Catherine Creek,1999,45.191962,117.832206,80,total spawners,41091,TRUE
Catherine Creek,2000,45.191962,117.832206,48,total spawners,40463,TRUE
Catherine Creek,2001,45.191962,117.832206,357,total spawners,71273,TRUE
Catherine Creek,2002,45.191962,117.832206,400,total spawners,153078,TRUE
Catherine Creek,2003,45.191962,117.832206,400,total spawners,151047,TRUE
Catherine Creek,2004,45.191962,117.832206,204,total spawners,57927,TRUE
Catherine Creek,2005,45.191962,117.832206,132,total spawners,74225,TRUE
Catherine Creek,2006,45.191962,117.832206,239,total spawners,66043,TRUE
Catherine Creek,2007,45.191962,117.832206,161,total spawners,46474,TRUE
Catherine Creek,2008,45.191962,117.832206,199,total spawners,103336,TRUE
Catherine Creek,2009,45.191962,117.832206,189,total spawners,24732,TRUE
Catherine Creek,2010,45.191962,117.832206,919,total spawners,116382,TRUE
Catherine Creek,2011,45.191962,117.832206,1118,total spawners,77210,TRUE
Catherine Creek,2012,45.191962,117.832206,642,total spawners,75419,TRUE
Chiwawa R.,1992,47.78729,120.6553,676,total spawners,93475,TRUE
Chiwawa R.,1993,47.78729,120.6553,233,total spawners,57581,TRUE
Chiwawa R.,1994,47.78729,120.6553,184,total spawners,59836,TRUE
Chiwawa R.,1995,47.78729,120.6553,33,total spawners,5870,TRUE
Chiwawa R.,1996,47.78729,120.6553,58,total spawners,16522,TRUE
Chiwawa R.,1997,47.78812112,120.6511455,182,total spawners,70459,TRUE
Chiwawa R.,1998,47.78812112,120.6511455,91,total spawners,42433,TRUE
Chiwawa R.,2000,47.78812112,120.6511455,346,total spawners,117605,TRUE
Chiwawa R.,2001,47.78812112,120.6511455,1725,total spawners,389137,TRUE
Chiwawa R.,2002,47.78812112,120.6511455,707,total spawners,128344,TRUE
Chiwawa R.,2003,47.78812112,120.6511455,270,total spawners,48416,TRUE
Chiwawa R.,2004,47.78812112,120.6511455,858,total spawners,65359,TRUE
Chiwawa R.,2005,47.78812112,120.6511455,598,total spawners,131739,TRUE
Chiwawa R.,2006,47.78812112,120.6511455,529,total spawners,106209,TRUE
Chiwawa R.,2007,47.78812112,120.6511455,1296,total spawners,103167,TRUE
Chiwawa R.,2008,47.78812112,120.6511455,1158,total spawners,141483,TRUE
Chiwawa R.,2009,47.78812112,120.6511455,1347,total spawners,146309,TRUE
Chiwawa R.,2010,47.78812112,120.6511455,1094,total spawners,177630,TRUE
Chiwawa R.,2011,47.78812112,120.6511455,2032,total spawners,142532,TRUE
Chiwawa R.,2012,47.78812112,120.6511455,1433,total spawners,187173,TRUE
Crooked Fork,1991,45.8211,115.5277,10,redd counts,20655.375,FALSE
Crooked Fork,1992,45.8211,115.5277,31,redd counts,28713.875,FALSE
Crooked Fork,1993,45.8211,115.5277,48,redd counts,103586,FALSE
Crooked Fork,1994,45.8211,115.5277,1,redd counts,3215.75,FALSE
Crooked Fork,1995,45.8211,115.5277,5,redd counts,3794.625,FALSE
Crooked Fork,1996,45.8211,115.5277,70,redd counts,13922.125,FALSE
Crooked Fork,1997,45.8211,115.5277,118,redd counts,58158.5,FALSE
Crooked Fork,1998,45.8211,115.5277,17,redd counts,27962.125,FALSE
Crooked Fork,1999,45.8211,115.5277,8,redd counts,15607.375,FALSE
Crooked Fork,2000,45.8211,115.5277,97,redd counts,34992.125,FALSE
Crooked Fork,2001,45.8211,115.5277,231,redd counts,31569.5,FALSE
Crooked Fork,2002,45.8211,115.5277,115,redd counts,28019.875,FALSE
Crooked Fork,2003,45.8211,115.5277,60,redd counts,54997.75,FALSE
Crooked Fork,2004,45.8211,115.5277,94,redd counts,29821.375,FALSE
Crooked Fork,2005,45.8211,115.5277,43,redd counts,15915.75,FALSE
East Fork Salmon River,1991,44.1185,114.4289,4,redd counts,5284.375,FALSE
East Fork Salmon River,1992,44.1185,115.4289,1,redd counts,1375.625,FALSE
East Fork Salmon River,1993,44.1185,116.4289,19,redd counts,13270,FALSE
East Fork Salmon River,1994,44.1185,117.4289,5,redd counts,4263.375,FALSE
East Fork Salmon River,1998,44.1185,121.4289,21,redd counts,12109.375,FALSE
East Fork Salmon River,1999,44.1185,122.4289,8,redd counts,1312.5,FALSE
East Fork Salmon River,2001,44.1185,124.4289,25,redd counts,14924.25,FALSE
East Fork Salmon River,2002,44.1185,125.4289,22,redd counts,9731.25,FALSE
East Fork Salmon River,2003,44.1185,126.4289,76,redd counts,42778.375,FALSE
East Fork Salmon River,2004,44.1185,127.4289,21,redd counts,29143.75,FALSE
Entiat River,2006,47.6629,120.248946,107,redd counts,42649.375,FALSE
Entiat River,2007,47.6629,120.248946,102,redd counts,42361.125,FALSE
Entiat River,2008,47.6629,120.248946,116,redd counts,63706.5,FALSE
Entiat River,2009,47.6629,120.248946,115,redd counts,32756.75,FALSE
Entiat River,2010,47.6629,120.248946,204,redd counts,71158.875,FALSE
Entiat River,2011,47.6629,120.248946,248,redd counts,94024.25,FALSE
Entiat River,2012,47.6629,120.248946,236,redd counts,85559.25,FALSE
Hayden Creek,2010,44.861393,-113.632021,66,total spawners,62694.97921475463,TRUE
Hayden Creek,2011,44.861393,-113.632021,124,total spawners,48574.68914880278,TRUE
Hayden Creek,2012,44.861393,-113.632021,27,total spawners,30314.586903385156,TRUE
Hayden Creek,2013,44.861393,-113.632021,91,total spawners,30302.81298825791,TRUE
Hayden Creek,2014,44.861393,-113.632021,96,total spawners,40612.156707249924,TRUE
Hayden Creek,2015,44.861393,-113.632021,367,total spawners,64525.02389496795,TRUE
Hayden Creek,2016,44.861393,-113.632021,63,total spawners,35677.97108453578,TRUE
Hood River,1994,45.66785,121.5199,25,redd counts,1312.5,FALSE
Hood River,1996,45.66785,121.5199,13,redd counts,2339.375,FALSE
Hood River,1997,45.66785,121.5199,24,redd counts,4181.875,FALSE
Hood River,1998,45.66785,121.5199,34,redd counts,205,FALSE
