Species,NAME,Lifestage,area,n_pts,tot_length,tot_cap,tot_cap_se
Chinook,Alder Creek-Methow River,Redds,120.56,24,41332.01,1792,46492
Chinook,Alder Creek-Methow River,Summer Juv.,120.56,24,41332.01,230273,45296
Chinook,Alder Creek-Methow River,Winter Juv.,120.56,24,41332.01,99333,48413
Chinook,Alta Coulee-Methow River,Redds,81.06,14,28357.62,1525,32645
Chinook,Alta Coulee-Methow River,Summer Juv.,81.06,14,28357.62,141759,31827
Chinook,Alta Coulee-Methow River,Winter Juv.,81.06,14,28357.62,102233,33436
Chinook,Bear Creek,Redds,46.71,1,1522.74,6,1881
Chinook,Bear Creek,Summer Juv.,46.71,1,1522.74,2750,1886
Chinook,Bear Creek,Winter Juv.,46.71,1,1522.74,1052,1937
Chinook,Boulder Creek,Redds,53.37,2,1781.73,22,2085
Chinook,Boulder Creek,Summer Juv.,53.37,2,1781.73,7322,2196
Chinook,Boulder Creek,Winter Juv.,53.37,2,1781.73,1654,2185
Chinook,Buttermilk Creek,Redds,95.95,2,1788.61,36,2066
Chinook,Buttermilk Creek,Summer Juv.,95.95,2,1788.61,5443,2143
Chinook,Buttermilk Creek,Winter Juv.,95.95,2,1788.61,2057,2216
Chinook,Cub Creek,Redds,62.59,1,618.18,4,733
Chinook,Cub Creek,Summer Juv.,62.59,1,618.18,876,748
Chinook,Cub Creek,Winter Juv.,62.59,1,618.18,486,750
Chinook,Doe Creek-Chewuch River,Redds,101.49,22,19909.8,371,22657
Chinook,Doe Creek-Chewuch River,Summer Juv.,101.49,22,19909.8,95165,23460
Chinook,Doe Creek-Chewuch River,Winter Juv.,101.49,22,19909.8,32238,23768
Chinook,Eagle Creek,Redds,34.71,1,178.75,2,226
Chinook,Eagle Creek,Summer Juv.,34.71,1,178.75,61,282
Chinook,Eagle Creek,Winter Juv.,34.71,1,178.75,132,279
Chinook,Early Winters Creek,Redds,128.48,19,12829.94,302,15333
Chinook,Early Winters Creek,Summer Juv.,128.48,19,12829.94,46866,17321
Chinook,Early Winters Creek,Winter Juv.,128.48,19,12829.94,16703,17282
Chinook,Eightmile Creek,Redds,119.96,1,1414.1,19,1725
Chinook,Eightmile Creek,Summer Juv.,119.96,1,1414.1,4792,1787
Chinook,Eightmile Creek,Winter Juv.,119.96,1,1414.1,913,1742
Chinook,Eureka Creek,Redds,93.62,1,678.5,16,788
Chinook,Eureka Creek,Summer Juv.,93.62,1,678.5,1185,882
Chinook,Eureka Creek,Winter Juv.,93.62,1,678.5,549,893
Chinook,Fawn Creek-Methow River,Redds,142.85,26,26098.8,790,28024
Chinook,Fawn Creek-Methow River,Summer Juv.,142.85,26,26098.8,139438,27681
Chinook,Fawn Creek-Methow River,Winter Juv.,142.85,26,26098.8,49329,28923
Chinook,Goat Creek,Redds,92.79,2,1977.1,19,2374
Chinook,Goat Creek,Summer Juv.,92.79,2,1977.1,2941,2667
Chinook,Goat Creek,Winter Juv.,92.79,2,1977.1,1782,2664
Chinook,Gold Creek,Redds,157.56,8,8346.46,130,9763
Chinook,Gold Creek,Summer Juv.,157.56,8,8346.46,33000,9840
Chinook,Gold Creek,Winter Juv.,157.56,8,8346.46,9004,10310
Chinook,Headwaters Twisp River,Redds,52.07,3,2101.03,52,2013
Chinook,Headwaters Twisp River,Summer Juv.,52.07,3,2101.03,2319,2245
Chinook,Headwaters Twisp River,Winter Juv.,52.07,3,2101.03,2632,2275
Chinook,Kay Creek-Chewuch River,Redds,101.59,8,7132.84,194,8277
Chinook,Kay Creek-Chewuch River,Summer Juv.,101.59,8,7132.84,21195,8349
Chinook,Kay Creek-Chewuch River,Winter Juv.,101.59,8,7132.84,9767,8746
Chinook,Lake Creek,Redds,138.53,12,10872.4,201,13462
Chinook,Lake Creek,Summer Juv.,138.53,12,10872.4,27073,16076
Chinook,Lake Creek,Winter Juv.,138.53,12,10872.4,15778,15320
Chinook,Lower Beaver Creek,Redds,124.38,0,268.97,0,0
Chinook,Lower Beaver Creek,Summer Juv.,124.38,0,268.97,0,0
Chinook,Lower Beaver Creek,Winter Juv.,124.38,0,268.97,0,0
Chinook,Lower Lost River,Redds,171.14,12,12003.09,521,14750
Chinook,Lower Lost River,Summer Juv.,171.14,12,12003.09,53214,19825
